Loc	Loc Zn	Loc Name	Loc Purp Desc	Loc/QTI	Flow Ind	DC	OPC	TSQ	OAC	IT	Auth Overrun Ind	Nom Cap Exceed Ind	All Qty Avail	Qty Reason	date	cycle
78489	PHOENIX	GRAND AVENUE DELIVERY	MQ	DPQ	D	35000	43800	7331	36469	N	N	N	Y		2022-03-03	evening
13315	PANHANDLE	H SIMONS #1	MQ	DPQ	D	3000	3000	25	2975	N	N	N	Y		2022-03-03	evening
58444	PANHANDLE	I.S.I. FARM TAP-PARMER	MQ	DPQ	D	5000	11000	2527	8473	N	N	N	Y		2022-03-03	evening
500239	CENTRAL	IACX BITTER LAKES	M2	RPQ	R	60000	59000	7851	51149	N	N	N	Y		2022-03-03	evening
500238	CENTRAL	IACX RED BLUFF	M2	RPQ	R	40000	45000	6644	38356	N	N	N	Y		2022-03-03	evening
56935	CENTRAL	INTEGRATED SERVICES DP-CHAVES	MQ	DPQ	D	3100	3100	2162	938	N	N	N	Y		2022-03-03	evening
79001	WEST TEXAS	INTREPID NORTH	MQ	DPQ	D		3800	70	3730	N	N	N	N	Design Capacity unavailable	2022-03-03	evening
78386	WEST TEXAS	KM KEYSTONE STORAGE	M2	RPQ	R	211000	211000	10187	200813	Y	N	N	Y		2022-03-03	evening
13328	PANHANDLE	L LUSK	MQ	DPQ	D	3000	1000	15	985	N	N	N	Y		2022-03-03	evening
100727	WEST TEXAS	Lucid Roadrunner	M2	RPQ	R	160000	160000	125348	34652	Y	N	N	Y		2022-03-03	evening
100716	PANHANDLE	NANNETTE GARCIA	MQ	DPQ	D	3000	3000	1	2999	N	N	N	Y		2022-03-03	evening
13306	PANHANDLE	NEW MEXICO NAT. GAS CARSON TAP	MQ	DPQ	D	500	5000	15	4985	N	N	N	Y		2022-03-03	evening
500084	CENTRAL	NMG BELEN TBS	MQ	DPQ	D	10000	14000	3913	10087	N	N	N	Y		2022-03-03	evening
56422	SAN JUAN	NMG BLOOMFIELD	MQ	DPQ	D	150000	165000	25917	139083	Y	N	N	Y		2022-03-03	evening
9236	PANHANDLE	NMG CURRY COUNTY	MQ	DPQ	D	22000	13000	4178	8822	Y	N	N	Y		2022-03-03	evening
79091	PANHANDLE	NMG FARWELL	MQ	DPQ	D	30000	30000	1956	28044	N	N	N	Y		2022-03-03	evening
60921	CENTRAL	NMG RIO PUERCO BI-DIR	MQ	DPQ	D	300000	300000	60000	240000	N	N	N	Y		2022-03-03	evening
58710	CENTRAL	NMG THOMPSON	MQ	DPQ	D	50000	50000	1245	48755	Y	N	N	Y		2022-03-03	evening
61334	WEST TEXAS	NNG/TW ESTES WARD	MQ	DPQ	D	50000	50000	17781	32219	N	N	N	Y		2022-03-03	evening
60667	PANHANDLE	NNG/TW GRAY ITE	MQ	DPQ	D	175000	200000	30000	170000	N	N	N	Y		2022-03-03	evening
500383	W. THOREAU	NUCOR STEEL I/C	MQ	DPQ	D	5000	5000	946	4054	N	N	N	Y		2022-03-03	evening
8042	PANHANDLE	PEPL HANSFORD CACTUS	MQ	DPQ	D	80000	80000	28805	51195	N	N	N	Y		2022-03-03	evening
56698	W. THOREAU	PG&E TOPOCK	MQ	DPQ	D	375000	380000	96603	283397	Y	N	N	Y		2022-03-03	evening
100747	WEST TEXAS	PHP TW Waha	MQ	DPQ	D	25000	25000	25000	0	Y	N	N	Y		2022-03-03	evening
78342	SAN JUAN2	QUESTAR BLOOMFIELD I/C	MQ	DPQ	D	120000	120000	550	119450	Y	N	N	Y		2022-03-03	evening
78490	PHOENIX	RAINBOW VALLEY DELIVERY	MQ	DPQ	D	35000	35000	5083	29917	N	N	N	Y		2022-03-03	evening
500538	SAN JUAN2	RED CEDAR ARKANSAS LOOP	M2	RPQ	R	350000	350000	75523	274477	Y	N	N	Y		2022-03-03	evening
78121	SAN JUAN2	RED CEDAR LAPLATA REC	M2	RPQ	R	50000	50000	7823	42177	N	N	N	Y		2022-03-03	evening
78484	PHOENIX	RED HAWK PLANT	MQ	DPQ	D	500000	500000	865	499135	N	N	N	Y		2022-03-03	evening
78496	PHOENIX	SANTAN PLANT	MQ	DPQ	D	144084	203000	42942	160058	N	N	N	Y		2022-03-03	evening
10487	W. THOREAU	SOCAL NEEDLES	MQ	DPQ	D	850000	850000	596609	253391	Y	N	N	Y		2022-03-03	evening
10594	PANHANDLE	SOUTHERN STAR-CANADIAN RIVER	MQ	DPQ	D	150000	150000	35056	114944	N	N	N	Y		2022-03-03	evening
78403	PANHANDLE	SOUTHWEST CHEESE I/C	MQ	DPQ	D	5000	5000	2100	2900	N	N	N	Y		2022-03-03	evening
78509	PANHANDLE	SPURLOCK #1	MQ	DPQ	D	3500	5000	39	4961	N	N	N	Y		2022-03-03	evening
100737	CENTRAL	SUMMIT LANE	M2	RPQ	R	200000	200000	1450	198550	N	N	N	Y		2022-03-03	evening
78481	PHOENIX	SUN VALLEY SOUTH DELIVERY	MQ	DPQ	D	35000	35000	293	34707	N	N	N	Y		2022-03-03	evening
78492	PHOENIX	SUNDANCE PLANT	MQ	DPQ	D	210000	210000	5000	205000	N	N	N	Y		2022-03-03	evening
79061	PHOENIX	SWG JOMAX	MQ	DPQ	D	25900	24900	1955	22945	N	N	N	Y		2022-03-03	evening
100739	WEST TEXAS	TARGA DK BOYD FUEL	MQ	DPQ	D	3800	4000	1600	2400	Y	N	N	Y		2022-03-03	evening
79074	WEST TEXAS	TARGA FUEL	MQ	DPQ	D	5000	5000	650	4350	Y	N	N	Y		2022-03-03	evening
79026	PANHANDLE	TKO WILLIAMS	MQ	DPQ	D	1600	1600	73	1527	N	N	N	Y		2022-03-03	evening
100718	WEST TEXAS	TRANS PECOS I/C	MQ	DPQ	D	500000	500000	2122	497878	N	N	N	Y		2022-03-03	evening
13335	PANHANDLE	TW (CABOT) RANDALL CO COUNTRY CLUB	MQ	DPQ	D	5000	5000	29	4971	N	N	N	Y		2022-03-03	evening
56774	SAN JUAN	TW STANDING ROCK I/C	MQ	DPQ	D	3000	3000	241	2759	N	N	N	Y		2022-03-03	evening
78003	W. THOREAU	TW/SGTC MOJAVE DEL.	MQ	DPQ	D	252000	252000	72924	179076	N	N	N	Y		2022-03-03	evening
13300	WEST TEXAS	TW/WALTON FUEL DELIVERY	MQ	DPQ	D	1000	3000	50	2950	Y	N	N	Y		2022-03-03	evening
500612	PANHANDLE	TW/WTG/HANSFORD CO I/C	MQ	DPQ	D	6000	6000	2960	3040	N	N	N	Y		2022-03-03	evening
500632	SAN JUAN	TWPL/TRANSCOLORADO BLANCO	M2	RPQ	R	450000	450000	96623	353377	N	N	N	Y		2022-03-03	evening
100730	WEST TEXAS	Targa Wildcat	M2	RPQ	R	200000	200000	47481	152519	Y	N	N	Y		2022-03-03	evening
9260	PANHANDLE	WEST TX GAS/TW  (ENERGAS) RANDALL CANYON	MQ	DPQ	D	3000	3000	20	2980	N	N	N	Y		2022-03-03	evening
16540	WEST TEXAS	WEST TX GAS/TW  WINKLER WEST TEXAS	MQ	DPQ	D	5000	11000	1973	9027	N	N	N	Y		2022-03-03	evening
9259	PANHANDLE	WEST TX GAS/TW (ENERGAS) GRAY PAMPA	MQ	DPQ	D	3000	3000	9	2991	N	N	N	Y		2022-03-03	evening
500535	SAN JUAN2	WFS IGNACIO PLANT I/C	M2	RPQ	R	300000	300000	37267	262733	Y	N	N	Y		2022-03-03	evening
56419	SAN JUAN	WILLIAMS FIELD MILAGRO PLANT	M2	RPQ	R	450000	500000	161597	338403	Y	N	N	Y		2022-03-03	evening
